"","UF","ano","rend","name"
"286","PR","1986/87","16064.5","producao"
"287","PE","1986/87","178.19999999999999","producao"
"288","PI","1986/87","343.30000000000001","producao"
"289","RJ","1986/87","159.80000000000001","producao"
"290","RN","1986/87","36","producao"
"291","RS","1986/87","14837.299999999999","producao"
"292","RO","1986/87","395.60000000000002","producao"
"293","RR","1986/87","16.600000000000001","producao"
"294","SC","1986/87","3753.3000000000002","producao"
"295","SP","1986/87","6547.6999999999998","producao"
"296","SE","1986/87","76.799999999999997","producao"
"297","TO","1986/87","0","producao"
"298","AC","1987/88","89.099999999999994","producao"
"299","AL","1987/88","144.19999999999999","producao"
"300","AP","1987/88","1.373","producao"
"301","AM","1987/88","6.9000000000000004","producao"
"302","BA","1987/88","1161.4000000000001","producao"
"303","CE","1987/88","922.39999999999998","producao"
"304","DF","1987/88","159.19999999999999","producao"
"305","ES","1987/88","372.69999999999999","producao"
"306","GO","1987/88","5398.3999999999996","producao"
"307","MA","1987/88","1650.5999999999999","producao"
"308","MT","1987/88","4519.1000000000004","producao"
"309","MS","1987/88","4217.3999999999996","producao"
"310","MG","1987/88","5718.6999999999998","producao"
"311","PA","1987/88","532","producao"
"312","PB","1987/88","323.60000000000002","producao"
"313","PR","1987/88","15125.6","producao"
"314","PE","1987/88","307.80000000000001","producao"
"315","PI","1987/88","951.20000000000005","producao"
"316","RJ","1987/88","168.80000000000001","producao"
"317","RN","1987/88","191.80000000000001","producao"
"318","RS","1987/88","12250.299999999999","producao"
"319","RO","1987/88","497.39999999999998","producao"
"320","RR","1987/88","11.199999999999999","producao"
"321","SC","1987/88","4051.4000000000001","producao"
"322","SP","1987/88","6565.6000000000004","producao"
"323","SE","1987/88","130.69999999999999","producao"
"324","TO","1987/88","838.70000000000005","producao"
"325","AC","1988/89","98.700000000000003","producao"
"326","AL","1988/89","180.30000000000001","producao"
"327","AP","1988/89","1.6399999999999999","producao"
"328","AM","1988/89","10.300000000000001","producao"
"329","BA","1988/89","1321.0999999999999","producao"
"330","CE","1988/89","576.60000000000002","producao"
"331","DF","1988/89","184.80000000000001","producao"
"332","ES","1988/89","444.5","producao"
"333","GO","1988/89","6190.8000000000002","producao"
"334","MA","1988/89","1428.2","producao"
"335","MT","1988/89","5492.3000000000002","producao"
"336","MS","1988/89","4479","producao"
"337","MG","1988/89","5712.6999999999998","producao"
"338","PA","1988/89","573","producao"
"339","PB","1988/89","336.10000000000002","producao"
